text,label,tokens,num_tokens,unique_tokens,lexical_density,clean_text,tokens_clean,num_tokens_clean,unique_tokens_clean,lexical_density_clean
"What do the letters D.C. stand for in Washington , D.C. ?",2,"['what', 'do', 'the', 'letters', 'd', 'c', 'stand', 'for', 'in', 'washington', 'd', 'c']",12,10,0.8333333333333334,letter stand washington,"['letter', 'stand', 'washington']",3,3,1.0
What animals can live the longest without food ?,1,"['what', 'animals', 'can', 'live', 'the', 'longest', 'without', 'food']",8,8,1.0,animal live long food,"['animal', 'live', 'long', 'food']",4,4,1.0
What English queen had seventeen children ?,3,"['what', 'english', 'queen', 'had', 'seventeen', 'children']",6,6,1.0,english queen seventeen child,"['english', 'queen', 'seventeen', 'child']",4,4,1.0
"What is the approximate population of Las Vegas , N.M ?",5,"['what', 'is', 'the', 'approximate', 'population', 'of', 'las', 'vegas', 'n', 'm']",10,10,1.0,approximate population las vegas,"['approximate', 'population', 'las', 'vegas']",4,4,1.0
How much does the President get paid ?,5,"['how', 'much', 'does', 'the', 'president', 'get', 'paid']",7,7,1.0,president pay,"['president', 'pay']",2,2,1.0
What two baseball players make up the battery ?,3,"['what', 'two', 'baseball', 'players', 'make', 'up', 'the', 'battery']",8,8,1.0,baseball player battery,"['baseball', 'player', 'battery']",3,3,1.0
What 's the largest letter in Salvador Dali 's signature ?,1,"['what', 's', 'the', 'largest', 'letter', 'in', 'salvador', 'dali', 's', 'signature']",10,9,0.9,large letter salvador dali signature,"['large', 'letter', 'salvador', 'dali', 'signature']",5,5,1.0
What does an irate car owner call iron oxide ?,1,"['what', 'does', 'an', 'irate', 'car', 'owner', 'call', 'iron', 'oxide']",9,9,1.0,irate car owner iron oxide,"['irate', 'car', 'owner', 'iron', 'oxide']",5,5,1.0
"Of children between the ages of two and eleven , what percentage watch `` The Simpsons '' ?",5,"['of', 'children', 'between', 'the', 'ages', 'of', 'two', 'and', 'eleven', 'what', 'percentage', 'watch', 'the', 'simpsons']",14,12,0.8571428571428571,child age percentage watch simpson,"['child', 'age', 'percentage', 'watch', 'simpson']",5,5,1.0
What 's the northernmost U.S. state apart from Alaska ?,4,"['what', 's', 'the', 'northernmost', 'u', 's', 'state', 'apart', 'from', 'alaska']",10,9,0.9,northernmost state apart alaska,"['northernmost', 'state', 'apart', 'alaska']",4,4,1.0
Name an art gallery in New York .,4,"['name', 'an', 'art', 'gallery', 'in', 'new', 'york']",7,7,1.0,art gallery new york,"['art', 'gallery', 'new', 'york']",4,4,1.0
Who sells Viagra ?,3,"['who', 'sells', 'viagra']",3,3,1.0,sell viagra,"['sell', 'viagra']",2,2,1.0
What musical instrument did Prewitt play in James Jones 's From Here to Eternity ?,1,"['what', 'musical', 'instrument', 'did', 'prewitt', 'play', 'in', 'james', 'jones', 's', 'from', 'here', 'to', 'eternity']",14,14,1.0,musical instrument prewitt play james jones eternity,"['musical', 'instrument', 'prewitt', 'play', 'james', 'jones', 'eternity']",7,7,1.0
What is the Home Rule Act ?,0,"['what', 'is', 'the', 'home', 'rule', 'act']",6,6,1.0,home rule act,"['home', 'rule', 'act']",3,3,1.0
What building are British monarchs crowned in ?,4,"['what', 'building', 'are', 'british', 'monarchs', 'crowned', 'in']",7,7,1.0,build british monarchs crown,"['build', 'british', 'monarchs', 'crown']",4,4,1.0
What are Bellworts ?,0,"['what', 'are', 'bellworts']",3,3,1.0,bellwort,['bellwort'],1,1,1.0
Who was Darius ?,3,"['who', 'was', 'darius']",3,3,1.0,darius,['darius'],1,1,1.0
What movie told of Anna Anderson 's claim to be a Russian czar 's daughter ?,1,"['what', 'movie', 'told', 'of', 'anna', 'anderson', 's', 'claim', 'to', 'be', 'a', 'russian', 'czar', 's', 'daughter']",15,14,0.9333333333333333,movie tell anna anderson claim russian czar daughter,"['movie', 'tell', 'anna', 'anderson', 'claim', 'russian', 'czar', 'daughter']",8,8,1.0
Who did Dita Beard work for ?,3,"['who', 'did', 'dita', 'beard', 'work', 'for']",6,6,1.0,dita beard work,"['dita', 'beard', 'work']",3,3,1.0
What kind of creature is a coot ?,1,"['what', 'kind', 'of', 'creature', 'is', 'a', 'coot']",7,7,1.0,kind creature coot,"['kind', 'creature', 'coot']",3,3,1.0
Name the university of which Woodrow Wilson was president .,3,"['name', 'the', 'university', 'of', 'which', 'woodrow', 'wilson', 'was', 'president']",9,9,1.0,university woodrow wilson president,"['university', 'woodrow', 'wilson', 'president']",4,4,1.0
"What country was first to use the airplane as a weapon of war , against the Turks in Libya ?",4,"['what', 'country', 'was', 'first', 'to', 'use', 'the', 'airplane', 'as', 'a', 'weapon', 'of', 'war', 'against', 'the', 'turks', 'in', 'libya']",18,17,0.9444444444444444,country use airplane weapon war turk libya,"['country', 'use', 'airplane', 'weapon', 'war', 'turk', 'libya']",7,7,1.0
What university was Woodrow Wilson President of ?,3,"['what', 'university', 'was', 'woodrow', 'wilson', 'president', 'of']",7,7,1.0,university woodrow wilson president,"['university', 'woodrow', 'wilson', 'president']",4,4,1.0
What is a fear of disease ?,1,"['what', 'is', 'a', 'fear', 'of', 'disease']",6,6,1.0,fear disease,"['fear', 'disease']",2,2,1.0
What kind of meat is Fray Bentos synonymous with ?,1,"['what', 'kind', 'of', 'meat', 'is', 'fray', 'bentos', 'synonymous', 'with']",9,9,1.0,kind meat fray bento synonymous,"['kind', 'meat', 'fray', 'bento', 'synonymous']",5,5,1.0
What did Mr. Magoo flog on TV for General Electric ?,1,"['what', 'did', 'mr', 'magoo', 'flog', 'on', 'tv', 'for', 'general', 'electric']",10,10,1.0,magoo flog general electric,"['magoo', 'flog', 'general', 'electric']",4,4,1.0
What are the words to the Canadian National anthem ?,0,"['what', 'are', 'the', 'words', 'to', 'the', 'canadian', 'national', 'anthem']",9,8,0.8888888888888888,word canadian national anthem,"['word', 'canadian', 'national', 'anthem']",4,4,1.0
What is the name of the Jewish alphabet ?,1,"['what', 'is', 'the', 'name', 'of', 'the', 'jewish', 'alphabet']",8,7,0.875,jewish alphabet,"['jewish', 'alphabet']",2,2,1.0
Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society '' ?,3,"['who', 'served', 'as', 'inspiration', 'for', 'the', 'schoolteacher', 'portrayed', 'by', 'robin', 'williams', 'in', 'dead', 'poets', 'society']",15,15,1.0,serve inspiration schoolteacher portray robin williams dead poet society,"['serve', 'inspiration', 'schoolteacher', 'portray', 'robin', 'williams', 'dead', 'poet', 'society']",9,9,1.0
What is Columbia Tristar 's phone number ?,5,"['what', 'is', 'columbia', 'tristar', 's', 'phone', 'number']",7,7,1.0,columbia tristar phone number,"['columbia', 'tristar', 'phone', 'number']",4,4,1.0
Name the five positions who are in the line of succession to the presidency .,3,"['name', 'the', 'five', 'positions', 'who', 'are', 'in', 'the', 'line', 'of', 'succession', 'to', 'the', 'presidency']",14,12,0.8571428571428571,position line succession presidency,"['position', 'line', 'succession', 'presidency']",4,4,1.0
Which one of the original seven Mercury program astronauts did not fly on any of the Mercury flights ?,3,"['which', 'one', 'of', 'the', 'original', 'seven', 'mercury', 'program', 'astronauts', 'did', 'not', 'fly', 'on', 'any', 'of', 'the', 'mercury', 'flights']",18,15,0.8333333333333334,original seven mercury program astronaut fly mercury flight,"['original', 'seven', 'mercury', 'program', 'astronaut', 'fly', 'mercury', 'flight']",8,7,0.875
Who is the best known villain of the 165 Gunpowder Plot ?,3,"['who', 'is', 'the', 'best', 'known', 'villain', 'of', 'the', '165', 'gunpowder', 'plot']",11,10,0.9090909090909091,well know villain gunpowder plot,"['well', 'know', 'villain', 'gunpowder', 'plot']",5,5,1.0
What is the capital of Burkina Faso ?,4,"['what', 'is', 'the', 'capital', 'of', 'burkina', 'faso']",7,7,1.0,capital burkina faso,"['capital', 'burkina', 'faso']",3,3,1.0
What continent is Bolivia on ?,4,"['what', 'continent', 'is', 'bolivia', 'on']",5,5,1.0,continent bolivia,"['continent', 'bolivia']",2,2,1.0
Why was Muhammad Ali stripped of his title and barred from boxing in 1967 ?,0,"['why', 'was', 'muhammad', 'ali', 'stripped', 'of', 'his', 'title', 'and', 'barred', 'from', 'boxing', 'in', '1967']",14,14,1.0,muhammad ali strip title bar boxing,"['muhammad', 'ali', 'strip', 'title', 'bar', 'boxing']",6,6,1.0
"Who killed more people , Hitler or Stalin ?",3,"['who', 'killed', 'more', 'people', 'hitler', 'or', 'stalin']",7,7,1.0,kill people hitler stalin,"['kill', 'people', 'hitler', 'stalin']",4,4,1.0
What caused Shea & Gould to close their L.A. office ?,0,"['what', 'caused', 'shea', 'gould', 'to', 'close', 'their', 'l', 'a', 'office']",10,10,1.0,cause shea gould close office,"['cause', 'shea', 'gould', 'close', 'office']",5,5,1.0
What 's the only mammal that can 't jump ?,1,"['what', 's', 'the', 'only', 'mammal', 'that', 'can', 't', 'jump']",9,9,1.0,mammal jump,"['mammal', 'jump']",2,2,1.0
What U.S. state has the most blondes ?,4,"['what', 'u', 's', 'state', 'has', 'the', 'most', 'blondes']",8,8,1.0,state blonde,"['state', 'blonde']",2,2,1.0
What war saw battles at Parrot 's Beak and Black Virgin ?,1,"['what', 'war', 'saw', 'battles', 'at', 'parrot', 's', 'beak', 'and', 'black', 'virgin']",11,11,1.0,war see battle parrot beak black virgin,"['war', 'see', 'battle', 'parrot', 'beak', 'black', 'virgin']",7,7,1.0
What was the U.S. highway death toll in 1969 ?,5,"['what', 'was', 'the', 'u', 's', 'highway', 'death', 'toll', 'in', '1969']",10,10,1.0,highway death toll,"['highway', 'death', 'toll']",3,3,1.0
What does the name Kelly mean ?,0,"['what', 'does', 'the', 'name', 'kelly', 'mean']",6,6,1.0,kelly mean,"['kelly', 'mean']",2,2,1.0
What is a phalanx ?,0,"['what', 'is', 'a', 'phalanx']",4,4,1.0,phalanx,['phalanx'],1,1,1.0
What mustachioed comedian portrayed Frankie in North to Alaska ?,3,"['what', 'mustachioed', 'comedian', 'portrayed', 'frankie', 'in', 'north', 'to', 'alaska']",9,9,1.0,mustachioed comedian portray frankie north alaska,"['mustachioed', 'comedian', 'portray', 'frankie', 'north', 'alaska']",6,6,1.0
What does each of the utilities cost in Monopoly ?,5,"['what', 'does', 'each', 'of', 'the', 'utilities', 'cost', 'in', 'monopoly']",9,9,1.0,utility cost monopoly,"['utility', 'cost', 'monopoly']",3,3,1.0
"What actor and World War II airman had a $5 , 0 bounty put on his head by Hermann Goering ?",3,"['what', 'actor', 'and', 'world', 'war', 'ii', 'airman', 'had', 'a', '5', '0', 'bounty', 'put', 'on', 'his', 'head', 'by', 'hermann', 'goering']",19,19,1.0,actor world war airman bounty head hermann goering,"['actor', 'world', 'war', 'airman', 'bounty', 'head', 'hermann', 'goering']",8,8,1.0
What does e.g. stand for ?,2,"['what', 'does', 'e', 'g', 'stand', 'for']",6,6,1.0,stand,['stand'],1,1,1.0
What is the name of the medical condition in which a baby is born without a brain ?,1,"['what', 'is', 'the', 'name', 'of', 'the', 'medical', 'condition', 'in', 'which', 'a', 'baby', 'is', 'born', 'without', 'a', 'brain']",17,14,0.8235294117647058,medical condition baby bear brain,"['medical', 'condition', 'baby', 'bear', 'brain']",5,5,1.0
How do storms form ?,0,"['how', 'do', 'storms', 'form']",4,4,1.0,storm form,"['storm', 'form']",2,2,1.0
Who is Nicolo Paganini ?,3,"['who', 'is', 'nicolo', 'paganini']",4,4,1.0,nicolo paganini,"['nicolo', 'paganini']",2,2,1.0
What city is often called The Insurance Capital of the World ?,4,"['what', 'city', 'is', 'often', 'called', 'the', 'insurance', 'capital', 'of', 'the', 'world']",11,10,0.9090909090909091,city call insurance capital world,"['city', 'call', 'insurance', 'capital', 'world']",5,5,1.0
What are the three animals in Sheila Burnford 's The Incredible Journey ?,1,"['what', 'are', 'the', 'three', 'animals', 'in', 'sheila', 'burnford', 's', 'the', 'incredible', 'journey']",12,11,0.9166666666666666,animal sheila burnford incredible journey,"['animal', 'sheila', 'burnford', 'incredible', 'journey']",5,5,1.0
Who portrayed Dracula in Hammer Studios ' films ?,3,"['who', 'portrayed', 'dracula', 'in', 'hammer', 'studios', 'films']",7,7,1.0,portray dracula hammer studio film,"['portray', 'dracula', 'hammer', 'studio', 'film']",5,5,1.0
Name one of the Seven Wonders of the Ancient World .,1,"['name', 'one', 'of', 'the', 'seven', 'wonders', 'of', 'the', 'ancient', 'world']",10,8,0.8,seven wonder ancient world,"['seven', 'wonder', 'ancient', 'world']",4,4,1.0
When were fish first believed to be found on earth ?,5,"['when', 'were', 'fish', 'first', 'believed', 'to', 'be', 'found', 'on', 'earth']",10,10,1.0,fish believe find earth,"['fish', 'believe', 'find', 'earth']",4,4,1.0
"What President 's favorite Biblical quotation was : `` Come now , and let us reason together '' .",3,"['what', 'president', 's', 'favorite', 'biblical', 'quotation', 'was', 'come', 'now', 'and', 'let', 'us', 'reason', 'together']",14,14,1.0,president favorite biblical quotation come let reason,"['president', 'favorite', 'biblical', 'quotation', 'come', 'let', 'reason']",7,7,1.0
How many elevators do you ride to reach the top floor of the Empire State Building ?,5,"['how', 'many', 'elevators', 'do', 'you', 'ride', 'to', 'reach', 'the', 'top', 'floor', 'of', 'the', 'empire', 'state', 'building']",16,15,0.9375,elevator ride reach floor empire state building,"['elevator', 'ride', 'reach', 'floor', 'empire', 'state', 'building']",7,7,1.0
Name the food company that traveled to Soviet Georgia to film a series of ads .,3,"['name', 'the', 'food', 'company', 'that', 'traveled', 'to', 'soviet', 'georgia', 'to', 'film', 'a', 'series', 'of', 'ads']",15,14,0.9333333333333333,food company travel soviet georgia film series ad,"['food', 'company', 'travel', 'soviet', 'georgia', 'film', 'series', 'ad']",8,8,1.0
What country was Sir Edmund Hillary born in ?,4,"['what', 'country', 'was', 'sir', 'edmund', 'hillary', 'born', 'in']",8,8,1.0,country sir edmund hillary bear,"['country', 'sir', 'edmund', 'hillary', 'bear']",5,5,1.0
What 's an infant seal called ?,1,"['what', 's', 'an', 'infant', 'seal', 'called']",6,6,1.0,infant seal call,"['infant', 'seal', 'call']",3,3,1.0
"What was the proper Laugh-In respones to : `` Say goodnight , Dick '' ?",0,"['what', 'was', 'the', 'proper', 'laugh', 'in', 'respones', 'to', 'say', 'goodnight', 'dick']",11,11,1.0,proper laughin respone goodnight dick,"['proper', 'laughin', 'respone', 'goodnight', 'dick']",5,5,1.0
What city was John F. Kennedy nominated for president in ?,4,"['what', 'city', 'was', 'john', 'f', 'kennedy', 'nominated', 'for', 'president', 'in']",10,10,1.0,city john kennedy nominate president,"['city', 'john', 'kennedy', 'nominate', 'president']",5,5,1.0
How long does a dog sleep ?,5,"['how', 'long', 'does', 'a', 'dog', 'sleep']",6,6,1.0,long dog sleep,"['long', 'dog', 'sleep']",3,3,1.0
What 1963 Joseph L. Mankiewicz film cost $28 million ?,1,"['what', '1963', 'joseph', 'l', 'mankiewicz', 'film', 'cost', '28', 'million']",9,9,1.0,joseph mankiewicz film cost million,"['joseph', 'mankiewicz', 'film', 'cost', 'million']",5,5,1.0
What Japanese electronics company was named for a coastal city northeast of Tokyo ?,3,"['what', 'japanese', 'electronics', 'company', 'was', 'named', 'for', 'a', 'coastal', 'city', 'northeast', 'of', 'tokyo']",13,13,1.0,japanese electronic company name coastal city northeast tokyo,"['japanese', 'electronic', 'company', 'name', 'coastal', 'city', 'northeast', 'tokyo']",8,8,1.0
What can you be fined for having a dog on a beach ?,5,"['what', 'can', 'you', 'be', 'fined', 'for', 'having', 'a', 'dog', 'on', 'a', 'beach']",12,11,0.9166666666666666,fine dog beach,"['fine', 'dog', 'beach']",3,3,1.0
Where did the Battle of the Bulge take place ?,4,"['where', 'did', 'the', 'battle', 'of', 'the', 'bulge', 'take', 'place']",9,8,0.8888888888888888,battle bulge place,"['battle', 'bulge', 'place']",3,3,1.0
How much will the California be in the year 2000 ?,5,"['how', 'much', 'will', 'the', 'california', 'be', 'in', 'the', 'year', '2000']",10,9,0.9,california year,"['california', 'year']",2,2,1.0
"What mystery writer penned `` ...the glory that was Greece , and the grandeur that was Rome '' ?",3,"['what', 'mystery', 'writer', 'penned', 'the', 'glory', 'that', 'was', 'greece', 'and', 'the', 'grandeur', 'that', 'was', 'rome']",15,12,0.8,mystery writer pen glory greece grandeur rome,"['mystery', 'writer', 'pen', 'glory', 'greece', 'grandeur', 'rome']",7,7,1.0
What state full of milk and honey was the destination in The Grapes of Wrath ?,4,"['what', 'state', 'full', 'of', 'milk', 'and', 'honey', 'was', 'the', 'destination', 'in', 'the', 'grapes', 'of', 'wrath']",15,13,0.8666666666666667,state milk honey destination grape wrath,"['state', 'milk', 'honey', 'destination', 'grape', 'wrath']",6,6,1.0
What is the tallest building in Japan ?,4,"['what', 'is', 'the', 'tallest', 'building', 'in', 'japan']",7,7,1.0,tallest building japan,"['tallest', 'building', 'japan']",3,3,1.0
Where is Sinn Fein 's headquarters ?,4,"['where', 'is', 'sinn', 'fein', 's', 'headquarters']",6,6,1.0,sinn fein headquarters,"['sinn', 'fein', 'headquarters']",3,3,1.0
Name Li 'l Abner 's favorite Indian drink .,1,"['name', 'li', 'l', 'abner', 's', 'favorite', 'indian', 'drink']",8,8,1.0,abner favorite indian drink,"['abner', 'favorite', 'indian', 'drink']",4,4,1.0
What are some important events of the 1830 's ?,1,"['what', 'are', 'some', 'important', 'events', 'of', 'the', '1830', 's']",9,9,1.0,important event,"['important', 'event']",2,2,1.0
The Iraqis launched their attack on Kuwait on what day ?,5,"['the', 'iraqis', 'launched', 'their', 'attack', 'on', 'kuwait', 'on', 'what', 'day']",10,9,0.9,iraqis launch attack kuwait day,"['iraqis', 'launch', 'attack', 'kuwait', 'day']",5,5,1.0
What letter adorns the flag of Rwanda ?,1,"['what', 'letter', 'adorns', 'the', 'flag', 'of', 'rwanda']",7,7,1.0,letter adorn flag rwanda,"['letter', 'adorn', 'flag', 'rwanda']",4,4,1.0
"What did 8 , CD NNS VBP TO VB NNP POS NN .",1,"['what', 'did', '8', 'cd', 'nns', 'vbp', 'to', 'vb', 'nnp', 'pos', 'nn']",11,11,1.0,nns vbp nnp pos,"['nns', 'vbp', 'nnp', 'pos']",4,4,1.0
What is God ?,0,"['what', 'is', 'god']",3,3,1.0,god,['god'],1,1,1.0
What country 's northernmost city is Darwin ?,4,"['what', 'country', 's', 'northernmost', 'city', 'is', 'darwin']",7,7,1.0,country northernmost city darwin,"['country', 'northernmost', 'city', 'darwin']",4,4,1.0
"What sound does Olympia , Washington , overlook ?",4,"['what', 'sound', 'does', 'olympia', 'washington', 'overlook']",6,6,1.0,sound olympia washington overlook,"['sound', 'olympia', 'washington', 'overlook']",4,4,1.0
What TV show chronicled the lives of Katy Holstrum and Congressman Glen Morley ?,1,"['what', 'tv', 'show', 'chronicled', 'the', 'lives', 'of', 'katy', 'holstrum', 'and', 'congressman', 'glen', 'morley']",13,13,1.0,chronicle life katy holstrum congressman glen morley,"['chronicle', 'life', 'katy', 'holstrum', 'congressman', 'glen', 'morley']",7,7,1.0
What Kentucky city calls itself The Horse Center of America ?,4,"['what', 'kentucky', 'city', 'calls', 'itself', 'the', 'horse', 'center', 'of', 'america']",10,10,1.0,kentucky city call horse center america,"['kentucky', 'city', 'call', 'horse', 'center', 'america']",6,6,1.0
How many penny-farthings are there on a Trivial Pursuit game board ?,5,"['how', 'many', 'penny', 'farthings', 'are', 'there', 'on', 'a', 'trivial', 'pursuit', 'game', 'board']",12,12,1.0,pennyfarthing trivial pursuit game board,"['pennyfarthing', 'trivial', 'pursuit', 'game', 'board']",5,5,1.0
What 's the most abundant element in the sun ?,1,"['what', 's', 'the', 'most', 'abundant', 'element', 'in', 'the', 'sun']",9,8,0.8888888888888888,abundant element sun,"['abundant', 'element', 'sun']",3,3,1.0
"What European country boasts the city of Furth , found where the rivers Rednitz and Pegnitz converge ?",4,"['what', 'european', 'country', 'boasts', 'the', 'city', 'of', 'furth', 'found', 'where', 'the', 'rivers', 'rednitz', 'and', 'pegnitz', 'converge']",16,15,0.9375,european country boast city furth find river rednitz pegnitz converge,"['european', 'country', 'boast', 'city', 'furth', 'find', 'river', 'rednitz', 'pegnitz', 'converge']",10,10,1.0
What U.S. state is Dixville Notch in ?,4,"['what', 'u', 's', 'state', 'is', 'dixville', 'notch', 'in']",8,8,1.0,state dixville notch,"['state', 'dixville', 'notch']",3,3,1.0
"Where was the Cisalpine Republic , 1797-185 , ?",4,"['where', 'was', 'the', 'cisalpine', 'republic', '1797', '185']",7,7,1.0,cisalpine republic,"['cisalpine', 'republic']",2,2,1.0
What is the largest shopping mall in the world ?,4,"['what', 'is', 'the', 'largest', 'shopping', 'mall', 'in', 'the', 'world']",9,8,0.8888888888888888,large shopping mall world,"['large', 'shopping', 'mall', 'world']",4,4,1.0
What is the protagonist 's name in Dostoevski 's `` The Idiot '' ?,3,"['what', 'is', 'the', 'protagonist', 's', 'name', 'in', 'dostoevski', 's', 'the', 'idiot']",11,9,0.8181818181818182,protagonist dostoevski idiot,"['protagonist', 'dostoevski', 'idiot']",3,3,1.0
What penalty space lies between Baltic Avenue and Reading Railroad on a Monopoly board ?,1,"['what', 'penalty', 'space', 'lies', 'between', 'baltic', 'avenue', 'and', 'reading', 'railroad', 'on', 'a', 'monopoly', 'board']",14,14,1.0,penalty space lie baltic avenue read railroad monopoly board,"['penalty', 'space', 'lie', 'baltic', 'avenue', 'read', 'railroad', 'monopoly', 'board']",9,9,1.0
What presidential press secretary dismissed Watergate as a third-rate burglary attempt ?,3,"['what', 'presidential', 'press', 'secretary', 'dismissed', 'watergate', 'as', 'a', 'third', 'rate', 'burglary', 'attempt']",12,12,1.0,presidential press secretary dismiss watergate thirdrate burglary attempt,"['presidential', 'press', 'secretary', 'dismiss', 'watergate', 'thirdrate', 'burglary', 'attempt']",8,8,1.0
What is a meerkat ?,0,"['what', 'is', 'a', 'meerkat']",4,4,1.0,meerkat,['meerkat'],1,1,1.0
Who was Jean Nicolet ?,3,"['who', 'was', 'jean', 'nicolet']",4,4,1.0,jean nicolet,"['jean', 'nicolet']",2,2,1.0
What kind of animal was Winnie the Pooh ?,1,"['what', 'kind', 'of', 'animal', 'was', 'winnie', 'the', 'pooh']",8,8,1.0,kind animal winnie pooh,"['kind', 'animal', 'winnie', 'pooh']",4,4,1.0
Which of these are authors ?,3,"['which', 'of', 'these', 'are', 'authors']",5,5,1.0,author,['author'],1,1,1.0
What 's the international radio code word for the letter B ?,1,"['what', 's', 'the', 'international', 'radio', 'code', 'word', 'for', 'the', 'letter', 'b']",11,10,0.9090909090909091,international radio code word letter,"['international', 'radio', 'code', 'word', 'letter']",5,5,1.0
Who was the original Humpty Dumpty ?,3,"['who', 'was', 'the', 'original', 'humpty', 'dumpty']",6,6,1.0,original humpty dumpty,"['original', 'humpty', 'dumpty']",3,3,1.0
What is cache memory ?,0,"['what', 'is', 'cache', 'memory']",4,4,1.0,cache memory,"['cache', 'memory']",2,2,1.0
Aspartame is also known as what ?,1,"['aspartame', 'is', 'also', 'known', 'as', 'what']",6,6,1.0,aspartame know,"['aspartame', 'know']",2,2,1.0
Where is the location of the Orange Bowl ?,4,"['where', 'is', 'the', 'location', 'of', 'the', 'orange', 'bowl']",8,7,0.875,location orange bowl,"['location', 'orange', 'bowl']",3,3,1.0
When is President Nixon 's birthday ?,5,"['when', 'is', 'president', 'nixon', 's', 'birthday']",6,6,1.0,president nixon birthday,"['president', 'nixon', 'birthday']",3,3,1.0
"What is the origin of the midwest slang , ` you 're darn tootin ' ?",0,"['what', 'is', 'the', 'origin', 'of', 'the', 'midwest', 'slang', 'you', 're', 'darn', 'tootin']",12,11,0.9166666666666666,origin midwest slang darn tootin,"['origin', 'midwest', 'slang', 'darn', 'tootin']",5,5,1.0
Whose cupboard was bare ?,3,"['whose', 'cupboard', 'was', 'bare']",4,4,1.0,cupboard bare,"['cupboard', 'bare']",2,2,1.0
What are the seven seas ?,4,"['what', 'are', 'the', 'seven', 'seas']",5,5,1.0,seven sea,"['seven', 'sea']",2,2,1.0
What does IBM stand for ?,2,"['what', 'does', 'ibm', 'stand', 'for']",5,5,1.0,ibm stand,"['ibm', 'stand']",2,2,1.0
What is the difference between jazz and blues ?,0,"['what', 'is', 'the', 'difference', 'between', 'jazz', 'and', 'blues']",8,8,1.0,difference jazz blue,"['difference', 'jazz', 'blue']",3,3,1.0
What is the C programming language ?,0,"['what', 'is', 'the', 'c', 'programming', 'language']",6,6,1.0,programming language,"['programming', 'language']",2,2,1.0
What 's the name of Popeye 's adopted son ?,3,"['what', 's', 'the', 'name', 'of', 'popeye', 's', 'adopted', 'son']",9,8,0.8888888888888888,popeye adopt son,"['popeye', 'adopt', 'son']",3,3,1.0
Who invented the vacuum cleaner ?,3,"['who', 'invented', 'the', 'vacuum', 'cleaner']",5,5,1.0,invent vacuum cleaner,"['invent', 'vacuum', 'cleaner']",3,3,1.0
What is a ` borrow pit ' ?,0,"['what', 'is', 'a', 'borrow', 'pit']",5,5,1.0,borrow pit,"['borrow', 'pit']",2,2,1.0
What 2th-century fictional character attends Pencey Prep School ?,3,"['what', '2th', 'century', 'fictional', 'character', 'attends', 'pencey', 'prep', 'school']",9,9,1.0,fictional character attend pencey prep school,"['fictional', 'character', 'attend', 'pencey', 'prep', 'school']",6,6,1.0
How many people in the USA say their number one source of information is the newspaper ?,5,"['how', 'many', 'people', 'in', 'the', 'usa', 'say', 'their', 'number', 'one', 'source', 'of', 'information', 'is', 'the', 'newspaper']",16,15,0.9375,people usa number source information newspaper,"['people', 'usa', 'number', 'source', 'information', 'newspaper']",6,6,1.0
"Who does Shakespeare 's Antonio borrow 3 , 0 ducats from ?",3,"['who', 'does', 'shakespeare', 's', 'antonio', 'borrow', '3', '0', 'ducats', 'from']",10,10,1.0,shakespeare antonio borrow ducat,"['shakespeare', 'antonio', 'borrow', 'ducat']",4,4,1.0
Which country is known as `` Big Bear '' ?,4,"['which', 'country', 'is', 'known', 'as', 'big', 'bear']",7,7,1.0,country know big bear,"['country', 'know', 'big', 'bear']",4,4,1.0
"What `` melts in your mouth , not in your hands '' .",1,"['what', 'melts', 'in', 'your', 'mouth', 'not', 'in', 'your', 'hands']",9,7,0.7777777777777778,melt mouth hand,"['melt', 'mouth', 'hand']",3,3,1.0
How many times a day should you take a prescription marked `` q.i.d . '' ?,5,"['how', 'many', 'times', 'a', 'day', 'should', 'you', 'take', 'a', 'prescription', 'marked', 'q', 'i', 'd']",14,13,0.9285714285714286,time day prescription mark qid,"['time', 'day', 'prescription', 'mark', 'qid']",5,5,1.0
What is the origin of the atom ?,0,"['what', 'is', 'the', 'origin', 'of', 'the', 'atom']",7,6,0.8571428571428571,origin atom,"['origin', 'atom']",2,2,1.0
Who is the Voyager project manager ?,3,"['who', 'is', 'the', 'voyager', 'project', 'manager']",6,6,1.0,voyager project manager,"['voyager', 'project', 'manager']",3,3,1.0
Which radio stations air the Jim Bohannon Radio Talk Show ?,3,"['which', 'radio', 'stations', 'air', 'the', 'jim', 'bohannon', 'radio', 'talk', 'show']",10,9,0.9,radio station air jim bohannon radio talk,"['radio', 'station', 'air', 'jim', 'bohannon', 'radio', 'talk']",7,6,0.8571428571428571
What two commanders directed the forces in the Battle of El Alamein ?,3,"['what', 'two', 'commanders', 'directed', 'the', 'forces', 'in', 'the', 'battle', 'of', 'el', 'alamein']",12,11,0.9166666666666666,commander direct force battle alamein,"['commander', 'direct', 'force', 'battle', 'alamein']",5,5,1.0
Name the creator of `` The Muppets '' .,3,"['name', 'the', 'creator', 'of', 'the', 'muppets']",6,5,0.8333333333333334,creator muppet,"['creator', 'muppet']",2,2,1.0
How do I e-mail someone at aol.com from yahoo.com ?,0,"['how', 'do', 'i', 'e', 'mail', 'someone', 'at', 'aol', 'com', 'from', 'yahoo', 'com']",12,11,0.9166666666666666,email aolcom yahoocom,"['email', 'aolcom', 'yahoocom']",3,3,1.0
