Label,Message,Word_count,Message_clean,Word_count_clean
ham,ITS A LAPTOP TAKE IT WITH YOU.,7,laptop,1
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,27,file bagi work call tell find room,7
ham,I wan but too early lei... Me outside now wun b home so early... Neva mind then...,17,wan early lei outside wun home early neva mind,9
spam,"For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",19,chance win cash txt action tsc custcare,7
ham,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now? ,33,walk home oredi late reply oso see dat like din buy,11
ham,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance..",14,wish family happy new year advance,6
ham,At 7 we will go ok na.,7,,0
ham,Yes I posted a couple of pics on fb. There's still snow outside too. I'm just waking up :),19,yes post couple pic snow outside wake,7
ham,S:-)if we have one good partnership going we will take lead:),11,sif good partnership go lead,5
spam,RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,22,rgent attempt contact callcost mobilesvary,5
ham,"Yeah, where's your class at?",5,yeah class,2
ham,No just send to you. Bec you in temple na.,10,send bec temple,3
ham,"You aren't coming home between class, right? I need to work out and shower!",14,come home class right need work shower,7
spam,Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL,25,lookin saucy daytime fun wiv busty marry woman free week chat sort time janinexx,14
ham,S but mostly not like that.,6,like,1
ham,Ü v ma fan...,4,,0
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,27,dunno cos late reach inside eat spageddie lor gal laugh lor,11
ham,Guess who spent all last night phasing in and out of the fourth dimension,14,guess spend night phase fourth dimension,6
ham,So now my dad is gonna call after he gets out of work and ask all these crazy questions.,19,dad gon get work ask crazy question,7
ham,"Yes..but they said its IT.,",5,yesbut say,2
ham,"Very hurting n meaningful lines ever: ""I compromised everything for my love, But at d end my love compromised me for everything:-("".. Gud mornin:-)",24,hurt meaningful line compromise love end love compromise gud mornin,10
ham,Lmao!nice 1,2,lmaonice,1
ham,Glad to see your reply.,5,glad reply,2
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,28,urgent try contact today draw show prize guarantee land line claim valid,12
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,13,monthly password wap mobsicom use wap phone,7
ham,Nah dub but je still buff,6,nah dub,2
ham,"Painful words- ""I thought being Happy was the most toughest thing on Earth... But, the toughest is acting Happy with all unspoken pain inside..""",24,painful word think happy tough thing earth tough act happy unspoken pain inside,13
ham,"Yeah, that's fine! It's £6 to get in, is that ok? ",11,yeah fine,2
ham,Lol where do u come up with these ideas?,9,lol come idea,3
ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",29,people special sight remain special till sight maintain till life end shjas,12
ham,"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",23,today song dedicated day song dedicate send valuable frnd rply,10
ham,Okay... We wait ah,4,okay wait,2
ham,Y lei?,2,lei,1
ham,HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,30,babe likely bed sorry tonight wanna tomorrow love,8
ham,Already am squatting is the new way of walking,9,squat new way walk,4
ham,Do you want bold 2 or bb torch,8,want bold torch,3
ham,Cramps stopped. Going back to sleep,6,cramp stop go sleep,4
spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award,28,todays vodafone number end digit select receive award number match claim award,12
spam,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,16,free ringtone sub weekly ringtoneget week freesend subpoly weekstop,9
ham,Nan sonathaya soladha. Why boss?,5,nan sonathaya soladha boss,4
ham,Bring tat cd don forget,5,bring tat forget,3
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,25,sunshine quiz wkly win dvd player know country algarve txt ansr sptyrone,12
ham,I don't know but I'm raping dudes at poker,9,know rape dude poker,4
ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.,18,weightloss girl friend load money ebay thank god,8
ham,Was gr8 to see that message. So when r u leaving? Congrats dear. What school and wat r ur plans.,20,message leave congrat dear school wat plan,7
ham,Ü eatin later but i'm eatin wif my frens now lei... Ü going home first? ,15,eatin later eatin wif fren lei go home,8
ham,Finish already... Yar they keep saying i mushy... I so embarrassed ok...,12,finish yar say mushy embarrassed,5
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday",16,sorry man stash run dry night pick sunday,8
ham,Hai priya are you right. What doctor said pa. Where are you.,12,priya right doctor say,4
spam,"Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.",27,order deliver sufficient credit receive service,6
ham,Ok...,1,,0
ham,Please ask mummy to call father,6,ask father,2
ham,Can come my room but cannot come my house cos my house still messy... Haha...,15,come room come house cos house messy haha,8
ham,I have lost 10 kilos as of today!,8,lose kilo today,3
ham,Just taste fish curry :-P,5,taste fish curry,3
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.,20,accidant tookplace ghodbandar traffic move slovely plz slip amp worry,10
ham,Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?,15,wkg wherebtw nus wana specialise wad,6
ham,Yes! I am a one woman man! Please tell me your likes and dislikes in bed...,16,yes woman man tell like dislike bed,7
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.,12,test early appreciate tomorrow,4
ham,"How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?",31,loverboy keep come queen hmm ache speak miss desparately,9
ham,U meet other fren dun wan meet me ah... Muz b a guy rite...,14,meet muz guy rite,4
ham,"(No promises on when though, haven't even gotten dinner yet)",10,promise get dinner,3
ham,I got your back! Do you have any dislikes in bed?,11,get dislike bed,3
ham,o turns out i had stereo love on mi phone under the unknown album.,14,turn stereo love phone unknown album,6
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,23,hard live chat choose girl connect live cheap chat uks big live service,13
ham,Yeah I don't see why not,6,yeah,1
ham,Asking do u knw them or nt? May be ur frnds or classmates?,13,ask knw frnd classmate,4
ham,"Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!",20,sorry early put firesare talk actually life lol,8
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.,25,wow boy tour win vip ticket prebook vip club txt club,11
ham,"As in missionary hook up, doggy hook up, standing...|",9,missionary hook doggy hook stand,5
ham,Then u better go sleep.. Dun disturb u liao.. U wake up then msg me lor..,16,well sleep dun disturb,4
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.",35,fight world easy win lose fightng close dificult lose lose win lose,12
ham,Am watching house – very entertaining – am getting the whole hugh laurie thing – even with the stick – indeed especially with the stick.,25,watch house entertain get hugh laurie thing stick especially stick,10
ham,Thought praps you meant another one. Goodo! I'll look tomorrow ,10,thought prap mean goodo look tomorrow,6
ham,"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James.",32,recently hav sum dinero leave bill say rent mayb interested hav james,12
ham,There bold 2  &lt;#&gt; . Is that yours,8,,0
ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then,13,know shall speak ltgt minute,5
ham,ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.,26,end goin town jus pub instead jus chillin bedroomlove jen,10
ham,I went to project centre,5,go project centre,3
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,22,request set callertune caller press copy friend callertune,8
ham,Lol yeah at this point I guess not,8,lol yeah point guess,4
ham,Doing project w frens lor. ,5,project fren lor,3
ham,Lol. Well quality aint bad at all so i aint complaining,11,lol quality bad complain,4
ham,"K, can that happen tonight?",5,happen tonight,2
spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",34,call hotmix fmyou choose receive easter prize drawplease telephone claim prize transfer,12
ham,"I think we're going to finn's now, come",8,think go finn come,4
ham,Why tired what special there you had,7,tired special,2
ham,I will come tomorrow di,5,come tomorrow,2
ham,I cant pick the phone right now. Pls send a message,11,pick phone right pls send message,6
ham,K go and sleep well. Take rest:-).,7,sleep rest,2
ham,U guys never invite me anywhere :(,7,guy invite,2
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117,27,go bahama callfreefone speak live operator claim bahamas cruise cash opt txt,12
ham,I can do that! I want to please you both inside and outside the bedroom...,15,want inside outside bedroom,4
ham,EY! CALM DOWNON THEACUSATIONS.. ITXT U COS IWANA KNOW WOTU R DOIN AT THEW/END... HAVENTCN U IN AGES..RING ME IF UR UP4 NETHING SAT.LOVE J XXX.,26,theacusation itxt cos iwana know wotu doin thewend haventcn agesre nething satlove,12
ham,I love to wine and dine my lady!,8,love wine dine lady,4
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,24,conacte date service enter phone fancy youto find landline,9
ham,"Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.",33,im cool luv vtire cause doin load planning get social service inspection nursery care spk,15
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.,18,know account detailsi ask mom send youmy mom reach,9
ham,I think u have the wrong number.,7,think wrong number,3
ham,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:),29,feel happy slowly habit amp finally life follow happy morning amp happy day,13
ham,DO NOT B LATE LOVE MUM,6,late love mum,3
ham,Got it..mail panren paru..,4,get itmail panren paru,4
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train,18,think chuckin red green black trainner save carryin bac train,10
ham,Give one miss from that number please,7,miss number,2
ham,Jus came back fr lunch wif my sis only. U leh?,11,jus come lunch wif sis leh,6
ham,How is your schedule next week? I am out of town this weekend.,13,schedule week town weekend,4
ham,Really good:)dhanush rocks once again:),5,gooddhanush rock,2
ham,Lmao ok I wont be needing u to do my hair anymore.,12,lmao need hair anymore,4
ham,"Miss ya, need ya, want ya, love ya.",8,miss need want love,4
ham,Sorry i'm not free...,4,sorry free,2
ham,Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?,26,song stuck head reason away til listen like time,9
ham,Nt yet chikku..simple habba..hw abt u?,6,chikkusimple habbahw abt,3
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear.",31,get mail dileepthank muchand look forward lot supportvery contact hereremember venugopal latei shall try come till theregoodnight dear,18
ham,Sometimes Heart Remembrs someone Very much... Forgets someone soon... Bcoz Heart will not like everyone. But liked ones will be Remembered Everytime... BSLVYL,23,heart remembr forget soon bcoz heart like like one remember everytime bslvyl,12
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,13,joys father joys father,4
spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,22,ibh customer loyalty offer new mobile txtauctiontxt wordstart,8
ham,Hi this is yijue... It's regarding the 3230 textbook it's intro to algorithms second edition... I'm selling it for $50...,20,yijue textbook algorithm second edition sell,6
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,30,sms auction win free auction send nokia,7
ham,"K, want us to come by now?",7,want come,2
ham,How. Its a little difficult but its a simple way to enter this place,14,little difficult simple way enter place,6
ham,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,29,thing get watch thk tonight haf smth mind,8
ham,Dont show yourself. How far. Put new pictures up on facebook.,11,far new picture facebook,4
ham,Watching tv now. I got new job :),8,watching get new job,4
ham,"Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!",33,good afternoon sexy bun go job search wake think love wish fine happy know adore,15
ham,"I'm not coming over, do whatever you want",8,come want,2
ham,"Its ok chikku, and its my 1 of favourite song..:-)",10,song,1
ham,Did u see what I posted on your Facebook?,9,post facebook,2
spam,Call FREEPHONE 0800 542 0578 now!,6,freephone,1
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,28,buy space invader chance win orig arcade game console press game arcade std wap charge term setting purchase,18
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",30,wonder world style smile personality nature sm lovely friendship good morning dear,12
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",28,loan purpose homeowner tenant welcome previously refuse help free text help,11
spam,BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,27,big brother alert computer select cash voucher ntt box landline cost mobile vary,13
ham,";-( oh well, c u later",6,later,1
ham,My uncles in Atlanta. Wish you guys a great semester.,10,uncle wish guy great semester,5
ham,No dear i do have free messages without any recharge. Hi hi hi,13,dear free message recharge,4
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL",32,search love let love find call fall love bcoz force fall know smeone hold bslvyl,15
ham,I dun believe u. I thk u told him.,9,believe thk tell,3
ham,"Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!",29,know god create gap finger come amp fill gap hold hand love,12
ham,Yes:)sura in sun tv.:)lol.,4,tvlol,1
ham,Arun can u transfr me d amt,7,amt,1
ham,Takin a shower now but yeah I'll leave when I'm done,11,takin shower yeah leave,4
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...,22,work eye philosophy text later bit free chat,8
ham,U havent lost me ill always b here 4u.i didnt intend 2 hurt u but I never knew how u felt about me when Iwas+marine&thats what itried2tell urmom.i careabout u,30,lose ill intend hurt know feel iwasmarinethats urmomi careabout,9
spam,"WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk",25,win winner prize soon eye mobile visit,7
ham,You bad girl. I can still remember them,8,bad girl remember,3
ham,How much i gave to you. Morning.,7,give morning,2
ham,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",34,hope alright babe worry feel bit desparate learn job fake waiting come love,13
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",24,hey tell blake address carlos want meet get lose answer phone,11
ham,Can i get your opinion on something first?,8,opinion,1
ham,That one week leave i put know that time. Why.,10,week leave know time,4
ham,"If we hit it off, you can move in with me :)",12,hit,1
ham,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?,21,excellent spend ltgt year air force stable honest like travel,10
ham,I wanna watch that movie,5,wanna watch movie,3
ham,Ok lor thanx... Ü in school?,6,lor thanx school,3
ham,I'm in class. Did you get my text.,8,class text,2
ham,The bus leaves at  &lt;#&gt; ,5,bus leave ltgt,3
ham,God bless.get good sleep my dear...i will pray!,8,blessget good sleep deari pray,5
spam,Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app ,26,todays voda number end select receive match quote claim code standard rate app,13
ham,Do have a nice day today. I love you so dearly.,11,nice day today love dearly,5
ham,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...,24,aiyo bit pai seh noe scare well lookin,8
ham,"Aight, I'll ask a few of my roommates",8,aight ask roommate,3
ham,"Now, whats your house # again ? And do you have any beer there ?",15,beer,1
ham,Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?,19,wan meet combine part rest project go,7
ham,Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry,26,get ticket walsall tue march mate getting sit ill pay treat want txt bak terry,15
ham,Yes we are chatting too.,5,yes chat,2
ham,HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX,23,jess know work home eve,5
ham,Sian... Aft meeting supervisor got work 2 do liao... U working now?,12,sian aft meeting supervisor get work liao work,8
ham,Are you going to write ccna exam this week??,9,go write ccna exam week,5
ham,Well i will watch shrek in 3D!!B),7,watch shrek,2
ham,Am i that much dirty fellow?,6,dirty fellow,2
ham,Dunno dat's wat he told me. Ok lor...,8,dunno dat wat tell lor,5
ham,I'll probably be by tomorrow (or even later tonight if something's going on),13,probably tomorrow later tonight something go,6
ham,I couldn't say no as he is a dying man and I feel sad for him so I will go and I just wanted you to know I would probably be gone late into your night,36,die man feel sad want know probably go late night,10
ham,If you're thinking of lifting me one then no.,9,think lift,2
ham,Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?,18,like wat eat,3
ham,Sent me ur email id soon,6,send email soon,3
ham,Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!,26,wat make people dearer happiness dat feel meet pain feel miss dem,12
ham,"Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done.",64,dude teresa hope okay hear people call receive package dec ltgt thot yould like know fantastic year good reading plus bam aid usmle work,24
ham,Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs.,15,hey gorgeous man work mobile number good babe squishy mwah,10
ham,May i call You later Pls,6,later pls,2
spam,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",28,hot pic straight phone get wet wanting text pic txt cost textoperator,12
ham,That's the way you should stay oh.,7,way stay,2
ham,Hello- thanx for taking that call. I got a job! Starts on monday!,13,hello thanx take get job start monday,7
ham,What time is ur flight tmr?,6,time flight tmr,3
ham,When should I come over?,5,come,1
ham,I have a rather prominent bite mark on my right cheek,11,prominent bite mark right cheek,5
ham,* Will be september by then!,6,september,1
ham,Are you wet right now?,5,wet right,2
ham,And how's your husband.,4,husband,1
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",30,hack chat backdoor entry chat room fraction cost reply subscribe dps bcm box ldn,14
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,41,norm tomorrow finish cos test need sort library stuff point tomo get letter today access til end march well,19
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social,16,yeah get list feel anti social,6
ham,I am in your office na.,6,office,1
ham,Are you comingdown later?,4,comingdown later,2
ham,Super da:)good replacement for murali,5,super dagood replacement murali,4
ham,Da is good good player.why he is unsold.,8,good good playerwhy unsold,4
ham,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,22,want join st later meet class,6
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!,22,telly decide let watch mia elliot kiss damn,8
spam,"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",22,motorola upto linerental free xnet free btooth,7
ham,I dont want to hear philosophy. Just say what happen,10,want hear philosophy happen,4
ham,You got job in wipro:)you will get every thing in life in 2 or 3 years.,16,get job wiproyou thing life year,6
ham,Then cant get da laptop? My matric card wif ü lei... ,11,laptop matric card wif lei,5
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.,12,dunno aft toa payoh get,5
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate ",30,time try contact pound prize claim easy min btnationalrate,9
ham,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,20,payment sorry want fedex way,5
ham,They did't play one day last year know even though they have very good team.. Like india.,17,didt play day year know good team like,8
ham,K.:)you are the only girl waiting in reception ah?,9,kyou girl wait reception,4
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it...",29,slowly godi love amp need youclean heart bloodsend special people amp miracle tomorrow itplspl,14
ham,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,27,hate turn fun shopping trip annoying day look house,9
ham,"Sir, i am waiting for your call.",7,sir wait,2
ham,What's up. Do you want me to come online?,9,want come online,3
ham,"It could work, we'll reach a consensus at the next meeting",11,work reach consensus meeting,4
ham,Aiyah then i wait lor. Then u entertain me. Hee...,10,aiyah wait lor entertain hee,5
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",162,thing want hurt think laugh embarasse delete tag going far know fact feel like hurt show know messy wednesday bad problem time clean choose skype picture sleep want mind thing bed throw laundry friend house embarasse underwear bra strew bed pillow floor good make bed,45
ham,I'll let you know when it kicks in,8,let know kick,3
ham,You call him now ok i said call him,9,say,1
ham,Call to the number which is available in appointment. And ask to connect the call to waheed fathima.,18,number available appointment ask connect wahee fathima,7
ham,Or ü go buy wif him then i meet ü later can?,12,buy wif meet later,4
ham,Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*,36,fuck fair know weakness grin push knee expose belly pull head forget know wicked smile,15
ham,Today my system sh get ready.all is well and i am also in the deep well,16,today system readyall deep,4
ham,Mom wants to know where you at,7,mom want know,3
ham,"Aight, I'll text you when I'm back",7,aight text,2
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,16,know support ass srt thnk think play usb,8
ham,Oh ok i didnt know what you meant. Yep i am baby jontin,13,know mean yep baby jontin,5
spam,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,20,guarantee cash prizeto claim prize customer service representative,8
spam,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,19,like pic hot nearly ban,5
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,25,hmv bonus special pound genuine hmv voucher win answer easy question play send,13
ham,Watching tv now. I got new job :),8,watching get new job,4
ham,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again! ,21,pen thing joke biro master,5
ham,I AM AT A PARTY WITH ALEX NICHOLS,8,party,1
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594,24,secret admirer look contact ufind rreveal think specialcall,8
ham,Just seeing your missed call my dear brother. Do have a gr8 day.,13,see miss dear brother day,5
ham,Ok.. Ü finishing soon?,4,finish soon,2
ham,"Sorry, I can't help you on this.",7,sorry help,2
ham,"Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-(",24,come slave go shell unconsciously avoid make unhappy,8
ham,I love your ass! Do you enjoy doggy style? :),10,love ass enjoy doggy style,5
ham,I think asking for a gym is the excuse for lazy people. I jog.,14,think ask gym excuse lazy people jog,7
spam,Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs ,22,dear invite xchat final attempt contact txt chat ldn,9
spam,Urgent! Please call 09061743811 from landline. Your ABTA complimentary 4* Tenerife Holiday or £5000 cash await collection SAE T&Cs Box 326 CW25WX 150ppm,23,urgent tenerife holiday cash await collection sae tcs box,9
ham,No. On the way home. So if not for the long dry spell the season would have been over,19,way home long dry spell season,6
ham,I gotta collect da car at 6 lei.,8,get collect car lei,4
ham,Ok but knackered. Just came home and went to sleep! Not good at this full time work lark.,18,knackered come home go sleep good time work lark,9
ham,Probably earlier than that if the station's where I think it is,12,probably early station think,4
spam,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,28,listen extreme dirty live chat go office right total privacy know sic listen min,14
ham,Good Morning plz call me sir,6,good morning plz sir,4
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)",33,freemsg hey get videopic fone reply wild txt ill send pic hurry bored work,14
ham,"Uh, heads up we don't have THAT much left",9,head left,2
ham,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.,24,tot outside cos come shopping course nice wat jus go sim lim look player,14
ham,"Aight, sounds good. When do you want me to come down?",11,aight sound good want come,5
ham,Wat would u like 4 ur birthday?,7,wat like birthday,3
ham,I love working from home :),6,love work home,3
ham,And miss vday the parachute and double coins??? U must not know me very well...,15,miss vday parachute double coin know,6
ham,"Sorry, I'll call later",4,sorry later,2
ham,My sister got placed in birla soft da:-),8,sister get place birla soft,5
spam,Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,30,free entry weekly comp chance win ipod txt pod entry std txt rate tcs apply detail,16
ham,Wah... Okie okie... Muz make use of e unlimited... Haha... ,10,wah okie okie muz use unlimited haha,7
ham,"There're some people by mu, I'm at the table by lambda",11,people table lambda,3
ham,And stop being an old man. You get to build snowman snow angels and snowball fights.,16,stop old man build snowman snow angel snowball fight,9
ham,ELLO BABE U OK?,4,ello babe,2
